"LOCATION_NAME","LONGITUDE","LATITUDE"
"024-Cihangir Sosyal Tesisleri","28.982257","41.028379"
"066-Deneyap Haldun Alagas Spor Salonu","29.10493","41.025024"
"007-Pendik Itfaiye","29.236739","40.886669"
"030-Gozdagi Korusu","29.252024","40.891037"
"SANCAKTEPE YENİDOĞAN","29.241722","41.008828"
"018-Zeytinburnu Meydan","28.903368","40.995086"
"010-Halic Kongre Merkezi","28.940191","41.050066"
"BAŞAKŞEHİR 2.ETAP","28.785263","41.104502"
"007-Tuzla Itfaiye","29.293924","40.857485"
"007-Istinye Itfaiye","29.054755","41.11489"
"007-Kagithane Itfaiye Komuta Merkezi","28.964904","41.08623"
"001-Cobancesme Kurumsal Atik","28.825496","40.997055"
"IETT-YTU Durak","29.008928","41.051483"
"032-Yildiz Korusu Park ve Bahceler","29.015585","41.046605"
"K.ÇEKMECE SEFAKÖY","28.79519","41.00522"
"017-Turgut Ozal Millet Caddesi","28.938473","41.012684"
"025-Beyoglu Spor Kompleksi","28.96927","41.02979"
"ZEYTİNBURNU GÖKALP MAH.","28.91019","40.99315"
"056-Galata Kulesi","28.974322","41.025545"
"BAĞCILAR YÜZYIL","28.852984","41.064582"
"007-Haciosman Itfaiye","29.026522","41.135922"
"PENDİK SÜLÜNTEPE","29.279829","40.915321"
"059-Arnavutkoy Mezarliklar","28.751046","41.179543"
"METRO-T4 Habipler","28.844303","41.121594"
"032-Maltepe Park ve Bahceler","29.12711","40.920351"
"EYÜPSULTAN ALİBEYKÖY KÜLTÜR MERKEZİ","28.92594","41.084155"
"ISKI-Umraniye","29.116408","41.020559"
"012-Cem Karaca Kultur Merkezi","28.880644","40.98043"
"METRO T1-GUNGOREN","28.877219","41.015526"
"PENDİK KURTKÖY","29.29354","40.90883"
"G.O.PAŞA","28.911887","41.061184"
"012-Erdem Beyazit Kultur Merkezi","28.876948","41.028597"
"BAKIRKÖY DENETİMLİ SERBESTLİK MÜDÜRLÜĞÜ","28.721899","40.981589"
"018-Ortakoy Meydan","29.025741","41.047446"
"038-Cevizlibag Otobus Duragi","28.91099","41.016008"
"030-Emirgan Korusu","29.053011","41.108199"
"GİRİŞİMCİLİK VE YÖNETİM OKULU","28.94247","41.01709"
"038-Yenibosna Otobus Duragi","28.835378","40.992755"
"067-Sureyyapasa Devlet Hastanesi","29.140236","40.947227"
"032-Basaksehir Park ve Bahceler","28.803974","41.108465"
"024-Kucukcekmece Sosyal Tesisleri","28.765303","40.9999"
"014-Nasrettin Hoca Kutuphanesi","28.870054","41.033384"
"METRO-Genel Mudurluk","28.887254","41.037167"
"032-Halic Park ve Bahceler","28.945631","41.057856"
